,0,1,2,3,4,5
31,0.159880299,0.107130812,-0.042004309,0.098677959,-0.141192366,0.315995771
32,0.195725724,0.167288281,0.028951558,0.204763187,0.01289321,0.464089866
33,0.196675169,0.200114034,0.064384483,0.246688437,0.028371258,0.477466606
34,0.201103565,0.142194032,0.010012303,0.235253945,0.002712505,0.431023584
35,0.145985921,0.112321167,-0.010816546,0.212286802,-0.042655782,0.397809008
36,0.172305865,0.120068481,0.023460925,0.251632798,-0.015604088,0.434718124
37,0.235120354,0.262448645,0.159761861,0.43893568,0.245107767,0.698742907
38,0.207663241,0.172744324,0.029009037,0.316198539,0.174134947,0.643809761
39,0.207453145,0.199170186,0.093167529,0.346187038,0.168444308,0.656092848
40,0.146879886,0.105022116,-0.022007119,0.233390498,-0.010182012,0.43722231
41,0.101391497,0.058203496,-0.110859519,0.125562478,-0.124850327,0.286991912
42,0.066628825,0.000567435,-0.167895226,0.091164941,-0.146160684,0.302171455
43,0.105834731,0.09118921,-0.070965956,0.197725767,-0.000520703,0.437294398
44,0.045226949,-0.043645388,-0.288715066,0.063723044,-0.059986605,0.339129744
45,0.052465631,-0.02563989,-0.310960489,0.116564343,0.308122308,0.658872253
46,0.066496173,-0.02987361,-0.292677814,0.153631345,0.263248095,0.654315997
47,0.018385339,-0.13410746,-0.415356563,0.051019601,0.332880665,0.644018459
48,0.179618219,0.071910128,-0.0881554,0.396823586,0.444857342,0.750410477
49,0.078827838,-0.032766237,-0.279252264,0.205875228,0.320724221,0.573662262
50,0.06266578,-0.028627753,-0.263699224,0.235238521,0.340979723,0.571664298
51,0.060490318,-0.064154114,-0.311508106,0.156588436,0.191825758,0.450591119
52,0.049279728,-0.044517051,-0.314135728,0.166694305,0.179304656,0.397092851
53,0.064222802,-0.004153849,-0.207333722,0.257487295,0.229685726,0.516862316
54,0.094835831,0.055401248,-0.142302543,0.333538158,0.357496016,0.674812045
55,0.076137534,0.041517538,-0.234856022,0.233585443,0.243960484,0.529907207
56,0.088865224,0.0530231,-0.169430115,0.279003763,0.251727613,0.57503941
57,0.060460326,0.04017628,-0.224494681,0.204157468,0.166390296,0.492666788
58,0.073757907,0.030941473,-0.209120592,0.233694731,0.099475411,0.36267323
59,0.130644788,0.117259509,-0.096949504,0.334501981,0.228422304,0.553764463
60,0.070899653,0.034545575,-0.270973199,0.186387009,0.153926877,0.42650095
61,0.058598144,-0.006408394,-0.271329128,0.198072415,0.257794163,0.576403302
62,0.058534229,-0.090509205,-0.330601329,0.094270442,0.275020383,0.652564237
63,0.091854023,0.010617311,-0.192301734,0.268983279,0.455797732,0.860710832
64,0.167620556,0.180035129,0.004610909,0.463971773,0.591484077,1.035146354
65,0.152294027,0.112607532,-0.098195052,0.391862125,0.475885283,0.875430748
66,0.178866,0.117629204,-0.009170703,0.4661431,0.651350643,1.109088204
67,0.190565316,0.147297897,-0.002805776,0.460827818,0.629150537,1.084781296
68,0.163218129,0.130049078,-0.011794405,0.467891114,0.633470309,1.079175142
69,0.211050892,0.184674385,0.052396713,0.549736101,0.719867005,1.144178561
70,0.158656602,0.09691791,-0.046301026,0.427682898,0.637330904,1.069744793
71,0.162092421,0.161955165,0.00954423,0.503058642,0.663219462,1.083869236
72,0.168659293,0.123965045,-0.05170867,0.417932171,0.584176704,1.020573071
73,0.176389689,0.138388047,0.014934364,0.500613426,0.696325889,1.126416903
74,0.126261609,0.047247685,-0.152920446,0.30493357,0.536088586,0.990278953
75,0.147279966,0.111261665,-0.071540715,0.416094603,0.589083031,1.021688911
76,0.170096163,0.17484045,0.011554778,0.495370845,0.600596434,1.008733728
77,0.137970238,0.129923679,-0.047653621,0.420079647,0.564005995,1.010137298
78,0.135817667,0.134436095,-0.044662515,0.419625412,0.549947798,1.010680112
79,0.140385256,0.102048428,-0.151310073,0.305852277,0.479614996,0.893915905
