,date,ORC58,ORC62
325,20141103,518.5,594.04
326,20141104,512.42,591.5
327,20141105,511.04,584.16
328,20141106,503.72,577.97
329,20141107,502.49,577.07
330,20141110,503.94,577.48
331,20141111,502.29,575.06
332,20141112,500.02,574.44
333,20141113,498.67,570.36
334,20141114,499.8,570.83
335,20141117,499.73,567.76
336,20141118,491.97,557.77
337,20141119,479.41,547.08
338,20141120,474.93,542.22
339,20141121,473.97,542.13
340,20141124,470.75,538.67
341,20141125,468.03,534.62
342,20141126,464.81,532.83
343,20141127,466.93,537.2
344,20141128,464.55,534.97
345,20141201,465.81,535.98
346,20141202,464.55,533.91
347,20141203,466.29,535.3
348,20141204,472.7,541.34
349,20141205,472.92,541.7
350,20141208,470.11,537.51
351,20141209,469.33,536.47
352,20141210,464.55,532.59
353,20141211,463.19,531.87
354,20141212,465.4,534.66
355,20141215,464.14,533.09
356,20141216,459.64,529.97
357,20141217,458.93,529.71
358,20141218,456.35,524.04
359,20141219,458.52,527.07
360,20141222,453.89,521.73
361,20141223,443.73,512.46
362,20141224,444.1,513.32
363,20141225,444.19,513.62
364,20141226,445.65,513.55
365,20141229,451.29,519.95
366,20141230,464.62,531.72
367,20141231,468.79,540.13
368,20150104,471.17,542.23
369,20150105,466.55,537.89
370,20150106,474.94,548.01
371,20150107,473.59,545.3
372,20150108,471.11,544.21
373,20150109,467.97,542.68
374,20150112,463.41,536.77
375,20150113,458.67,533.35
376,20150114,455.23,528.54
377,20150115,459.03,530.78
378,20150116,457.63,528.21
379,20150119,456.3,526.62
380,20150120,454.46,522.81
381,20150121,442.93,508.38
382,20150122,441.93,506.37
383,20150123,439.11,503.29
384,20150126,439.91,507.83
385,20150127,434.38,503.24
386,20150128,435.16,503.92
387,20150129,437.26,506.1
388,20150130,432.48,500.18
389,20150202,430.72,496.13
390,20150203,429.39,495.34
391,20150204,428.3,494.65
392,20150205,426.39,492.42
393,20150206,429.41,493.72
394,20150209,429.97,494.57
395,20150210,431.99,496.28
396,20150211,432.81,497.27
397,20150212,435.26,498.59
398,20150213,440.34,505.88
399,20150216,444.15,512.59
400,20150217,443.26,510.32
401,20150225,435.13,501.02
402,20150226,437.6,505.43
403,20150227,434.74,503.84
404,20150302,435.04,504.29
405,20150303,435.44,504.39
406,20150304,431.91,500.32
407,20150305,424.89,490.1
408,20150306,420.25,486.16
409,20150309,419.83,485.64
410,20150310,417.38,482.29
411,20150311,412.28,476.1
412,20150312,412.12,476.26
413,20150313,412.85,475.23
414,20150316,415.69,477.46
415,20150317,411.39,473.38
416,20150318,403.31,467.59
417,20150319,399.28,460.93
418,20150320,395.39,454.96
419,20150323,396.34,455.04
420,20150324,393.84,455.35
421,20150325,392.83,451.69
422,20150326,388.66,449.92
423,20150327,385.6,443.57
424,20150330,380.5,438.37
425,20150331,375.53,430.12
426,20150401,365.83,420.02
427,20150402,351.52,406.74
428,20150403,350.22,404.71
429,20150407,352.84,406.76
430,20150408,355.55,408.89
431,20150409,350.85,403.66
432,20150410,347.08,400.38
433,20150413,358.0,410.48
434,20150414,365.37,417.14
435,20150415,364.2,415.48
436,20150416,366.73,417.56
437,20150417,364.96,416.86
438,20150420,365.02,417.07
439,20150421,368.33,419.97
440,20150422,374.72,426.04
441,20150423,380.01,430.46
442,20150424,390.11,441.82
443,20150427,406.95,458.39
444,20150428,405.72,458.23
445,20150429,402.77,454.29
446,20150430,401.99,450.21
447,20150504,405.1,454.57
448,20150505,415.64,465.6
449,20150506,423.01,473.47
450,20150507,421.16,470.95
451,20150508,420.83,470.66
452,20150511,433.27,477.95
453,20150512,435.88,478.93
454,20150513,431.73,475.12
455,20150514,435.58,478.55
456,20150515,434.26,476.78
457,20150518,430.01,471.73
458,20150519,422.27,466.24
459,20150520,418.9,462.81
460,20150521,420.51,463.86
461,20150522,421.7,465.53
462,20150525,427.68,471.01
463,20150526,433.56,479.7
464,20150527,436.37,480.68
465,20150528,435.04,478.28
466,20150529,433.3,478.08
467,20150601,440.94,483.7
468,20150602,442.02,484.44
469,20150603,442.97,484.49
470,20150604,449.52,490.56
471,20150605,450.64,491.86
472,20150608,451.9,493.58
473,20150609,450.45,492.58
474,20150610,457.38,502.5
475,20150611,462.56,504.92
476,20150612,461.95,504.18
477,20150615,460.28,503.5
478,20150616,455.53,499.16
479,20150617,446.36,491.1
480,20150618,443.41,488.39
481,20150619,443.75,489.06
482,20150623,441.65,485.31
483,20150624,448.55,492.47
484,20150625,446.88,490.04
485,20150626,443.56,487.05
486,20150629,439.25,481.31
487,20150630,436.12,476.9
488,20150701,433.68,472.97
489,20150702,431.64,470.42
490,20150703,422.07,463.13
491,20150706,413.62,457.26
492,20150707,399.98,440.63
493,20150708,382.35,418.78
494,20150709,378.62,419.42
495,20150710,378.71,422.1
496,20150713,382.99,426.14
497,20150714,386.64,427.84
498,20150715,386.63,428.03
499,20150716,383.63,424.09
500,20150717,384.34,424.59
501,20150720,394.32,433.17
502,20150721,400.83,438.1
503,20150722,392.8,429.29
504,20150723,393.13,429.93
505,20150724,392.35,429.93
506,20150727,397.58,435.14
507,20150728,402.48,438.29
508,20150729,412.19,448.32
509,20150730,416.09,450.17
510,20150731,415.94,449.81
511,20150803,417.72,452.48
512,20150804,421.79,456.33
513,20150805,430.48,464.37
514,20150806,430.99,464.95
515,20150807,426.32,459.18
516,20150810,424.99,457.23
517,20150811,426.2,458.62
518,20150812,428.95,460.84
519,20150813,435.83,468.82
520,20150814,436.3,469.22
521,20150817,432.07,465.55
522,20150818,432.07,464.37
523,20150819,430.3,461.78
524,20150820,429.83,461.29
525,20150821,431.05,462.64
526,20150824,419.09,451.89
527,20150825,416.93,448.42
528,20150826,416.01,447.22
529,20150827,417.91,449.86
530,20150828,427.18,461.06
531,20150831,427.4,461.98
532,20150901,426.96,459.98
533,20150907,428.02,460.52
534,20150908,431.35,463.43
535,20150909,437.2,470.78
536,20150910,442.58,477.36
537,20150911,449.42,482.96
538,20150914,443.44,477.33
539,20150915,438.72,472.87
540,20150916,438.1,472.2
541,20150917,437.76,471.7
542,20150918,435.27,468.28
543,20150921,436.78,470.29
544,20150922,435.47,468.84
545,20150923,431.14,464.62
546,20150924,434.02,468.22
547,20150925,434.61,469.66
548,20150928,428.31,461.91
549,20150929,424.35,459.51
550,20150930,424.31,461.06
551,20151008,424.72,462.85
552,20151009,433.79,471.79
553,20151012,427.75,465.66
554,20151013,419.4,458.19
555,20151014,417.39,456.35
556,20151015,412.27,450.82
557,20151016,408.03,445.1
558,20151019,409.25,446.96
559,20151020,407.88,444.69
560,20151021,403.36,439.23
561,20151022,402.42,437.77
562,20151023,400.57,434.34
563,20151026,395.86,429.68
564,20151027,394.77,427.67
565,20151028,390.81,422.06
566,20151029,386.64,415.54
567,20151030,386.01,414.89
568,20151102,384.0,412.21
569,20151103,374.26,402.48
570,20151104,369.45,396.79
571,20151105,367.21,393.92
572,20151106,362.3,388.81
573,20151109,362.51,389.08
574,20151110,363.65,389.6
575,20151111,360.63,386.73
576,20151112,361.86,387.98
577,20151113,362.35,388.06
578,20151116,359.68,384.51
579,20151117,354.44,378.47
580,20151118,350.03,372.83
581,20151119,347.9,369.74
582,20151120,344.47,366.35
583,20151123,345.21,366.78
584,20151124,340.11,364.46
585,20151125,336.57,361.33
586,20151126,337.32,361.73
587,20151127,333.95,359.32
588,20151130,328.48,352.03
589,20151201,325.44,347.51
590,20151202,318.14,338.11
591,20151203,315.1,335.02
592,20151204,310.34,331.78
593,20151207,307.77,328.43
594,20151208,304.89,324.92
595,20151209,304.86,324.99
596,20151210,301.91,322.25
597,20151211,300.08,319.71
598,20151214,301.02,321.17
599,20151215,301.5,321.85
600,20151216,300.6,320.73
601,20151217,302.28,321.37
602,20151218,305.82,326.29
603,20151221,311.98,332.26
604,20151222,312.39,333.41
605,20151223,312.24,333.03
606,20151224,313.3,334.81
607,20151225,313.5,334.98
608,20151228,316.83,337.88
609,20151229,322.71,342.91
610,20151230,328.81,351.06
611,20151231,332.69,355.18
612,20160104,335.13,358.33
613,20160105,333.19,357.77
614,20160106,331.08,355.78
615,20160107,328.56,354.54
616,20160108,324.86,348.91
617,20160111,323.29,346.01
618,20160112,320.31,343.34
619,20160113,320.89,343.49
620,20160114,320.61,343.9
621,20160115,320.81,344.51
622,20160118,327.07,352.28
623,20160119,331.85,357.07
624,20160120,328.48,353.22
625,20160121,323.63,349.37
626,20160122,324.16,349.77
627,20160125,322.78,348.18
628,20160126,323.31,349.78
629,20160127,322.92,350.13
630,20160128,322.84,350.11
631,20160129,324.22,353.3
632,20160201,324.37,353.85
633,20160202,325.71,354.41
634,20160203,329.33,358.97
635,20160204,331.63,365.57
636,20160205,334.25,366.03
637,20160215,334.53,366.01
638,20160216,339.19,370.76
639,20160217,342.49,374.05
640,20160218,343.11,375.99
641,20160219,346.73,380.69
642,20160222,362.19,396.52
643,20160223,369.67,404.19
644,20160224,368.42,401.33
645,20160225,365.27,398.91
646,20160226,357.86,388.81
647,20160229,359.45,393.78
648,20160301,365.84,403.2
649,20160302,374.78,412.25
650,20160303,374.91,412.43
651,20160304,381.31,419.92
652,20160307,474.29,507.46
653,20160308,485.19,526.5
654,20160309,463.41,507.72
655,20160310,449.99,489.61
656,20160311,440.97,478.16
657,20160314,432.97,472.65
658,20160315,419.19,458.31
659,20160316,408.82,446.92
660,20160317,415.63,455.12
661,20160318,430.5,469.66
662,20160321,435.62,476.04
663,20160322,433.81,474.41
664,20160323,428.36,467.19
665,20160324,415.55,455.19
666,20160325,411.19,446.61
667,20160328,405.87,441.06
668,20160329,405.23,440.36
669,20160330,404.08,438.13
670,20160331,399.8,437.41
671,20160401,400.48,440.88
672,20160405,403.12,441.98
673,20160406,399.36,439.6
674,20160407,400.29,441.86
675,20160408,396.41,440.63
676,20160411,408.76,451.98
677,20160412,427.15,469.92
678,20160413,441.01,482.63
679,20160414,438.43,480.22
680,20160415,430.29,471.64
681,20160418,440.51,486.16
682,20160419,450.8,492.38
683,20160420,466.24,515.0
684,20160421,502.58,550.02
685,20160422,510.8,563.47
686,20160425,500.3,548.4
687,20160426,482.15,526.95
688,20160427,470.39,513.03
689,20160428,468.64,515.17
690,20160429,490.86,541.48
691,20160503,471.02,519.33
692,20160504,459.44,508.93
693,20160505,448.6,496.37
694,20160506,447.98,496.26
695,20160509,428.06,475.51
696,20160510,420.52,460.61
697,20160511,423.97,466.64
698,20160512,414.61,459.83
699,20160513,407.84,449.46
700,20160516,404.46,447.26
701,20160517,412.71,460.37
702,20160518,412.4,458.8
703,20160519,409.03,456.26
704,20160520,399.28,450.68
705,20160523,384.02,434.83
706,20160524,371.64,416.42
707,20160525,358.65,407.38
708,20160526,342.79,401.47
709,20160527,345.31,404.84
710,20160530,346.18,405.17
711,20160531,339.19,400.17
712,20160601,331.99,391.97
713,20160602,330.16,389.17
714,20160603,333.45,392.0
715,20160606,343.73,404.91
716,20160607,347.84,410.5
717,20160608,350.96,411.31
718,20160612,350.96,411.31
719,20160613,354.44,416.12
720,20160614,344.68,402.75
721,20160615,345.47,404.43
722,20160616,347.02,406.3
723,20160617,350.04,410.37
724,20160620,347.87,407.48
725,20160621,348.51,408.56
726,20160622,353.68,414.34
727,20160623,358.57,420.29
728,20160624,358.07,419.16
729,20160627,378.06,435.13
730,20160628,379.68,437.55
731,20160629,378.0,436.25
732,20160630,388.11,445.17
733,20160701,387.78,445.4
734,20160704,396.24,454.52
735,20160705,403.73,460.04
736,20160706,397.43,454.61
737,20160707,396.98,453.18
738,20160708,399.88,455.47
739,20160711,400.53,457.45
740,20160712,411.78,473.25
741,20160713,421.51,480.51
742,20160714,424.82,484.91
743,20160715,422.44,482.97
744,20160718,400.3,462.77
745,20160719,394.75,455.49
746,20160720,398.63,459.66
747,20160721,406.39,469.24
748,20160722,401.56,464.68
749,20160725,403.75,468.63
750,20160726,406.85,471.63
751,20160727,418.55,482.88
752,20160728,426.21,491.93
753,20160729,422.09,488.01
754,20160801,437.44,503.24
755,20160802,428.4,500.03
756,20160803,427.11,498.84
757,20160804,422.17,492.86
758,20160805,426.5,499.52
759,20160808,436.35,506.53
760,20160809,435.7,506.25
761,20160810,430.88,501.37
762,20160811,421.36,492.77
763,20160812,420.61,491.78
764,20160815,418.27,489.67
765,20160816,427.81,494.23
766,20160817,422.37,489.52
767,20160818,421.58,489.54
768,20160819,423.3,493.47
