date,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20070207,,988.5441527,,,,,,803.0457969,984.820149,,,1007.463389,,,,1022.538248,1039.18759,,,927.1720848,,,,,,,,,984.8055324,1201.259203
20070208,,985.9188544,,,,,,793.3776381,982.318445,,,1004.643532,,,,1018.514054,1030.589734,,,928.1364117,,,,,,,,,972.7461082,1185.912637
20070209,,992.601432,,,,,,810.7439419,981.9257375,,,1007.24565,,,,1020.675479,1036.94399,,,928.5890452,,,,,,,,,977.0325516,1197.884315
20070212,,996.1813842,,,,,,831.2808803,981.5909629,,,1006.251706,,,,1019.712343,1032.559466,,,928.2425199,,,,,,,,,968.2554184,1200.627153
20070213,,1001.670644,,,,,,826.0723598,978.4144298,,,1008.695882,,,,1012.924166,1027.620179,,,928.7401203,,,,,,,,,961.8520423,1197.936805
20070214,,1007.875895,,,,,,854.3077413,979.5208153,,,1023.028213,,,,1013.112411,1032.096392,,,937.0064511,,,,,,,,,964.6091958,1201.480875
20070215,,1005.011933,,,,,,865.685409,977.7514799,,,1023.949355,,,,1015.26524,1039.403965,,,945.0123335,,,,,,,,,966.6451747,1173.827018
20070216,,1006.921241,,,,,,874.8025369,983.0648486,,,1031.478444,,,,1015.859898,1055.314146,,,962.8962475,,,,,,,,,967.5406454,1202.039766
20070226,,1006.206899,,,,,,910.0600571,984.1520326,,,1048.073678,,,,1027.437165,1087.386221,,,957.6715888,,,,,,,,,980.0734501,1225.829935
20070227,,1004.296765,,,,,,913.5821372,980.6268809,,,1030.50361,,,,1018.567011,1080.13121,,,954.8692009,,,,,,,,,980.8168935,1201.50353
20070228,,1005.013138,,,,,,920.2339133,973.3220348,,,1030.906775,,,,1013.752558,1069.318066,,,966.3999862,,,,,,,,,975.0620684,1161.334701
20070301,,1011.933615,,,,,,909.2107574,969.1427293,,,1026.805214,,,,1010.539099,1063.575968,,,955.3886869,,,,,,,,,973.9090641,1175.279584
20070302,,1018.617414,,,,,,906.1475522,976.479987,,,1026.629479,,,,1010.903702,1057.834079,,,967.4813863,,,,,,,,,966.3345979,1171.156061
20070305,,1011.701261,,,,,,869.5078558,973.9864791,,,1013.712146,,,,1008.633105,1051.113106,,,966.3377639,,,,,,,,,959.837668,1133.41129
20070306,,1014.087447,,,,,,890.9499424,976.103157,,,1020.929726,,,,1011.550084,1061.367405,,,968.3369711,,,,,,,,,967.9672122,1155.272768
20070307,,1014.806125,,,,,,893.2511147,979.1986855,,,1020.30976,,,,1008.771346,1053.138897,,,967.7384305,,,,,,,,,964.8526891,1138.381412
20070308,,1014.089952,,,,,,916.0165044,980.9595645,,,1023.331699,,,,1007.285161,1057.135742,,,978.1103637,,,,,,,,,965.0589769,1143.025769
20070309,,1008.364579,,,,,,906.0623296,979.2818362,,,1018.935708,,,,998.3052931,1049.08206,,,984.6692707,,,,,,,,,964.5390373,1149.833272
20070312,,1000.730531,,,,,,912.2403344,979.341374,,,1019.177418,,,,997.4348656,1050.753318,,,991.7336678,,,,,,,,,966.1560467,1153.202644
20070313,,1001.679201,,,,,,926.0568786,976.9484447,,,1018.745414,,,,1001.481242,1051.713826,,,982.4542933,,,,,,,,,971.7272071,1147.688019
20070314,,1000.012038,,,,,,918.7331985,973.1210203,,,1015.301225,,,,1000.781296,1038.417625,,,982.3013701,,,,,,,,,967.6706913,1126.243774
20070315,,1000.021187,,,,,,932.0043166,973.1725147,,,1020.288214,,,,1005.45206,1042.433594,,,979.9553232,,,,,,,,,969.2293416,1126.817209
20070316,,1000.490619,,,,,,964.3905577,969.6799216,,,1024.519481,,,,1005.709444,1035.35726,,,972.4122665,,,,,,,,,965.7860599,1126.793744
20070319,,1000.039289,,,,,,952.9170738,963.7388129,,,1019.843567,,,,1004.258164,1039.874088,,,983.614982,,,,,,,,,967.393973,1123.615756
20070320,,998.3784758,,,,,,968.9222397,962.9687466,,,1021.498399,,,,1004.758085,1038.333951,,,992.4933291,,,,,,,,,968.790215,1133.565583
20070321,,998.1411032,,,,,,953.9706734,960.188317,,,1017.868471,,,,1003.892983,1040.096657,,,990.8520035,,,,,,,,,973.4510071,1128.619677
20070322,,1000.515107,,,,,,964.2873752,958.4652709,,,1016.945405,,,,1002.096581,1039.068093,,,988.506195,,,,,,,,,970.3330228,1133.717215
20070323,,1004.586567,,,,,,983.0245731,960.2063869,,,1016.397619,,,,1001.696799,1039.379669,,,994.2522692,,,,,,,,,975.0144803,1128.985268
20070326,,1001.001612,,,,,,987.8021865,952.2254347,,,1015.324423,,,,998.3585625,1032.64968,,,993.1520834,1023.352218,,,,,,,,981.1555486,1145.836338
20070327,,993.1451999,,,,,,990.6400009,946.9804194,,,1003.762667,,,,999.3665441,1030.685857,,,982.7928821,1040.19862,,,,,,,,981.4788794,1157.754725
20070328,,998.3826202,,,,,,978.5103627,951.7844415,,,1005.620772,,,,1000.776303,1032.617749,,,978.2663815,1034.872084,,,,,,,,993.0649635,1161.658841
20070329,,994.7898827,,,,,,973.4685052,954.5720855,,,1003.631984,,,,998.7773097,1034.645236,,,974.5947253,1017.827244,,,,,,,,994.0980315,1158.291762
20070330,,999.5452328,,,,,,996.3522583,955.1545349,,,1003.07391,,,,1001.337394,1047.802946,,,960.1201023,1029.908909,,,,,,,,1004.097082,1184.705302
20070402,,1014.133917,,,,,,997.1829328,950.857867,,,999.3973887,,,,988.8784634,1034.183108,,,961.6840813,1026.304028,,,,,,,,999.1597081,1187.214713
20070403,,1022.665476,,,,,,1010.488505,955.9684857,,,1001.708273,,,,992.7245137,1044.682749,,,961.6211189,1008.456762,,,,,,,,1021.454522,1183.490764
20070404,,1019.812182,,,,,,1036.179054,956.9456637,,,1009.614223,,,,995.615474,1040.181889,,,966.0149044,1015.47047,,,,,,,,1025.848728,1177.277745
20070405,,1020.1172,,,,,,1044.72498,956.3286449,,,1009.432306,,,,994.4348644,1034.218405,,,961.421024,1059.617654,,,,,,,,1017.465958,1168.775951
20070406,,1015.944685,,,,,,1068.158995,951.7272661,,,1019.45118,,,,991.0299544,1030.343393,,,963.74148,1099.307648,,,,,,,,1010.173932,1186.762543
20070409,,1016.303929,,,,,,1100.155004,950.4553036,,,1035.685883,,,,1004.373454,1034.249431,,,953.1103024,1127.684083,,,,,,,,1020.729316,1215.338683
20070410,,1013.927188,,,,,,1126.976594,949.6514443,,,1033.524687,,,,1000.589565,1020.861513,,,956.7745107,1146.122027,,,,,,,,1010.526005,1207.696277
20070411,,1016.659235,,,,,,1115.85286,949.2143767,,,1024.421264,,,,999.5062266,1020.737399,,,938.5786335,1134.354594,,,,,,,,1023.750466,1232.500504
20070412,,1026.889105,,,,,,1152.818007,944.9846262,,,1030.931901,,,,992.5196968,1003.183521,,,940.4074987,1154.108298,,,,,,,,1036.248345,1267.384782
20070413,,1035.963457,,,,,,1121.065201,942.7185225,,,1026.417183,,,,984.8243348,981.58996,,,952.0569572,1110.579211,,,,,,,,1038.654719,1243.358152
20070416,,1046.434129,,,,,,1152.302044,933.8464765,,,1030.260783,,,,984.7991235,981.1642583,,,941.2749919,1129.151911,,,,,,,,1061.142283,1262.091062
20070417,,1045.773461,,,,,,1137.37282,929.3070368,,,1030.593592,,,,981.8213283,973.3611209,,,928.4809328,1126.285317,,,,,,,,1049.005517,1247.542253
20070418,,1036.28647,,,,,,1189.013463,924.322405,,,1047.078439,,,,973.9437216,957.9507473,,,918.425297,1176.193242,,,,,,,,1021.220137,1252.069466
